department, state
Henderson County Sheriff, North Carolina
High Point Police, North Carolina
Huntersville Police, North Carolina
Raleigh Police, North Carolina
UNCG Police, North Carolina
Winston-Salem Police, North Carolina
Austintown Police, Ohio
Grove City Police, Ohio
Pickerington Police, Ohio
Willoughby Hills Police, Ohio
Grants Pass Dept. of Public Safety, Oregon
Medford Police, Oregon
Amity Township Police, Pennsylvania
Bally Police, Pennsylvania
Berks County (District Attorney), Pennsylvania
Berks-Lehigh Regional Police, Pennsylvania
Bern Township Police, Pennsylvania
Bernville Police, Pennsylvania
Bethlehem Township Police, Pennsylvania
Birdsboro Police, Pennsylvania
Boyertown Police, Pennsylvania
Brecknock Township Police, Pennsylvania
Bristol Township Police, Pennsylvania
Caernarvon Township Police, Pennsylvania
Castle Shannon Police, Pennsylvania
Catasauqua Police, Pennsylvania
Central Berks Regional Police, Pennsylvania
Cumru Township Police, Pennsylvania
Douglass Township Police, Pennsylvania
Exeter Township Police, Pennsylvania
Fleetwood Police, Pennsylvania
Hamburg Police, Pennsylvania
Heidelberg Township Police, Pennsylvania
Kutztown Police, Pennsylvania
Laureldale Police, Pennsylvania
Lower Heidelberg Township Police, Pennsylvania
Mohnton Police, Pennsylvania
Muhlenberg Township Police, Pennsylvania
Norristown Police, Pennsylvania
Northern Berks Regional Police, Pennsylvania
Oley Township Police, Pennsylvania
Penn State - Berks Police, Pennsylvania
Pottstown Police, Pennsylvania
Reading Police, Pennsylvania
Robeson Township Police, Pennsylvania
Salisbury Twp. Police, Pennsylvania
Shillington Police, Pennsylvania
Sinking Spring Police, Pennsylvania
South Heidelberg Township, Pennsylvania
South Whitehall Township Police, Pennsylvania
Spring Township Police, Pennsylvania
Tilden Township Police, Pennsylvania
Tulpehocken Township Police, Pennsylvania
West Reading Police, Pennsylvania
Western Berks Regional Police, Pennsylvania
Wyomissing Police, Pennsylvania
Pawtucket Police Department, Rhode Island
Providence Police, Rhode Island
Fort Mill Police, South Carolina
Lancaster County Sheriff, South Carolina
North Augusta Police, South Carolina
Oconee County Sheriff, South Carolina
Rock Hill Police, South Carlonia
Madison Police Department, South Dakota
Sanborn County Sheriff, South Dakota
Sioux Falls Police, South Dakota
Ashland City Police, Tennessee
Brentwood Police, Tennessee
Bristol Police, Tennessee
Clarksville Police, Tennessee
Columbia Police, Tennessee
Johnson City Police, Tennessee
Morristown Police, Tennessee
Murfreesboro Police, Tennessee
Nashville Police, Tennessee
Washington County Sheriff, Tennessee
Bedford Police, Texas
Cedar Hill Police, Texas
College Station Police, Texas
Desoto Police, Texas
Duncanville Police, Texas
Fort Worth Police, Texas
Kerrville Police, Texas
Mesquite Police, Texas
Midland Police, Texas
Richmond Police, Texas
Texarkana TX Police, Texas
Weatherford Police, Texas
Wichita Falls Police, Texas
Ogden Police, Utah
Albemarle County Police, Virginia
Blacksburg Police, Virginia
Charlottesville Police, Virginia
Chesapeake Police, Virginia
Christiansburg Police, Virginia
Norfolk Police, Virginia
Old Dominion University Police, Virginia
Roanoke Police, Virginia
Spotsylvania County Sheriff, Virginia
Stafford County Sheriff, Virginia
Staunton Police, Virginia
Vinton Police, Virginia
Bellevue Police, Washington
Bothell Police, Washington
Duvall Police, Washington
Kirkland Police, Washington
Mercer Island Police, Washington
Milton Police, Washington
Grant County Sheriff , Wisconsin
Oneida Police, Wisconsin
Oshkosh Police, Wisconsin



[{"Name":"Alabama","ID":1},{"Name":"Arizona","ID":3},{"Name":"Arkansas","ID":4},{"Name":"California","ID":5},{"Name":"Colorado","ID":6},{"Name":"Connecticut","ID":7},{"Name":"Delaware","ID":8},{"Name":"Florida","ID":9},{"Name":"Georgia","ID":10},{"Name":"Hawaii","ID":11},{"Name":"Idaho","ID":12},{"Name":"Illinois","ID":13},{"Name":"Indiana","ID":14},{"Name":"Iowa","ID":15},{"Name":"Kansas","ID":16},{"Name":"Kentucky","ID":17},{"Name":"Louisiana","ID":18},{"Name":"Maine","ID":19},{"Name":"Massachusetts","ID":21},{"Name":"Michigan","ID":22},{"Name":"Minnesota","ID":23},{"Name":"Mississippi","ID":24},{"Name":"Missouri","ID":25},{"Name":"Montana","ID":26},{"Name":"Nebraska","ID":27},{"Name":"Nevada","ID":28},{"Name":"New Hampshire","ID":29},{"Name":"New Jersey","ID":30},{"Name":"New Mexico","ID":31},{"Name":"North Carolina","ID":33},{"Name":"Ohio","ID":35},{"Name":"Oregon","ID":37},{"Name":"Pennsylvania","ID":38},{"Name":"Rhode Island","ID":39},{"Name":"South Carolina","ID":40},{"Name":"South Dakota","ID":41},{"Name":"Tennessee","ID":42},{"Name":"Texas","ID":43},{"Name":"Utah","ID":44},{"Name":"Virginia","ID":46},{"Name":"Washington","ID":47},{"Name":"Wisconsin","ID":49}]



